物件ID,種別,物件名,販売価格,所在地,沿線・駅,間取り,土地面積（m2）,建物面積（m2）,坪単価（万円／坪）,URL,情報取得日,築年月（年数換算）,沿線,駅,徒歩,最小最大,追加年月日,削除年月日
679ce2c1e018,建物,堀津町須賀中（岐阜羽島駅） 2490万円,2490.0,岐阜県羽島市堀津町須賀中39,東海道新幹線「岐阜羽島」徒歩21分,4LDK,237.2,105.99,,https://suumo.jp/ikkodate/gifu/sc_hashima/nc_78024654/,2026-01-17,0.0,東海道新幹線,岐阜羽島,21.0,最小,2026-01-11,
67a4f5f486f3,建物,岐阜県岐阜市古市場,600.0,岐阜県岐阜市古市場,樽見鉄道/糸貫駅 徒歩73分,3LDK,359.4,100.43,5.52,https://myhome.nifty.com/chuko-ikkodate/gifu/gifushi_ct/detail_1ecde099b61c3107b6d19811956069e2/,2026-01-17,42.92,樽見鉄道,糸貫,73.0,,2026-01-11,
67b5b29799c4,土地,岐阜県各務原市那加不動丘２丁目,1780.0,岐阜県各務原市那加不動丘２丁目,名鉄各務原線/各務原市役所前駅 徒歩13分,,205.74,,28.6,https://myhome.nifty.com/tochi/gifu/kakamigaharashi_ct/detail_1c55924e17bb34b3a8f317fad25af7c7/,2026-01-17,,名鉄各務原線,各務原市役所前,13.0,,2026-01-11,
67c5fc188c9e,建物,一宮市萩原町花井方第3　全2棟　2号棟,2490.0,愛知県一宮市萩原町花井方字平前49,名鉄尾西線「二子」駅まで 徒歩 25分,4LDK,164.22,98.01,,https://sumaity.com/house_new/prop_9973310/,2026-01-17,0.0,名鉄尾西線,二子,25.0,,2026-01-11,
67c819387651,建物,■当社限定特典有、即日案内可能！■頭金０円、他借入もおまとめローン可能！,2080.0,岐阜県羽島市竹鼻町狐穴,名鉄竹鼻線「竹鼻」徒歩3分,3LDK,122.08,83.36,,https://suumo.jp/ikkodate/gifu/sc_hashima/nc_78744873/,2026-01-17,0.0,名鉄竹鼻線,竹鼻,3.0,最小,2026-01-11,
67c990ebb89e,土地,岐阜県岐阜市学園町,1850.0,岐阜県岐阜市学園町,名鉄名古屋本線/名鉄岐阜駅 徒歩50分,,242.49,,25.22,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_67e3ebd1e1ff34c1aefab69ed8122fa1/,2026-01-17,,名鉄名古屋本線,名鉄岐阜,50.0,,2026-01-11,
67d23106a2dc,土地,福光東２ 1838万円,1838.0,岐阜県岐阜市福光東２,岐阜バス「長良上天神」徒歩2分,,243.0,,25.1,https://suumo.jp/tochi/gifu/sc_gifu/nc_78951683/,2026-01-17,,岐阜バス,長良上天神,2.0,,2026-01-11,
67df2df4224c,土地,岐阜県岐阜市石原,350.0,岐阜県岐阜市石原,,,165.27,,7.0,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_f023f5673bf63f86bba437cadf80a860/,2026-01-17,,,,,,2026-01-11,
67e36babc993,土地,岐阜県岐阜市茜部中島１丁目,6468.7,岐阜県岐阜市茜部中島１丁目,東海道本線/岐阜駅 徒歩23分,,611.0,,35.0,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_f155a75b6338382c95f1ddf705540569/,2026-01-17,,東海道本線,岐阜,23.0,,2026-01-11,
67ec58bfad9d,建物,岐阜県各務原市蘇原花園町２丁目,3800.0,岐阜県各務原市蘇原花園町２丁目,名鉄各務原線/各務原市役所前駅 徒歩16分,2LDK,190.31,86.95,66.01,https://myhome.nifty.com/shinchiku-ikkodate/gifu/kakamigaharashi_ct/detail_ebb612073f623f88b7f4b35ebb05a468/,2026-01-17,0.0,名鉄各務原線,各務原市役所前,16.0,,2026-01-11,
67ef5070cb0f,土地,岐阜県岐阜市尻毛１丁目,400.0,岐阜県岐阜市尻毛１丁目,樽見鉄道/モレラ岐阜駅 徒歩113分,,190.0,,6.96,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_a018cb678178338ea0701a59a3ea209b/,2026-01-17,,樽見鉄道,モレラ岐阜,113.0,,2026-01-11,
67f44adacaed,建物,岐阜県岐阜市芥見６丁目,2800.0,岐阜県岐阜市芥見６丁目,東海道本線/岐阜駅 徒歩5分 バス35分,6SLDK,416.62,173.89,22.22,https://myhome.nifty.com/chuko-ikkodate/gifu/gifushi_ct/detail_e3e82d5f86ce3fc0bd17f4a6b2986e2f/,2026-01-17,22.67,東海道本線,岐阜,5.0,,2026-01-14,
67fb45f52c51,建物,【ダイワハウス】セキュレア加納鷹匠町　(分譲住宅),3999.0,岐阜県岐阜市加納鷹匠町22番1,JR東海道本線「岐阜」駅 徒歩19分~22分,3LDK,136.21,98.54,,https://sumaity.com/house_new/prop_9876945/,2026-01-17,0.0,JR東海道本線,岐阜,19.0,,2026-01-11,
6814852aea56,建物,完成内覧会開催中♪,2690.0,愛知県一宮市伝法寺１１-2-21,名鉄犬山線「大山寺」徒歩38分,4LDK,129.42,95.65,,https://suumo.jp/ikkodate/aichi/sc_ichinomiya/nc_78189039/,2026-01-17,0.0,名鉄犬山線,大山寺,38.0,,2026-01-11,
6814bfcc2ca8,建物,岐阜市上新町　中古戸建,999.0,岐阜県岐阜市上新町,岐阜バス「材木町」下車 徒歩2分,7DK,152.53,138.11,,https://sumaity.com/house/used/gifu_prop/prop_18710817/,2026-01-17,40.99,,,,,2026-01-11,
68192c857752,土地,愛知県一宮市八幡２丁目,4500.0,愛知県一宮市八幡２丁目,東海道本線/尾張一宮駅 徒歩10分,,200.04,,74.37,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_b5fc35d9a76a3a85b36ad489b758aabc/,2026-01-11,,東海道本線,尾張一宮,10.0,,2026-01-11,2026/01/14
682021738d43,土地,岐阜県岐阜市柳津町上佐波東３丁目,198.0,岐阜県岐阜市柳津町上佐波東３丁目,名鉄竹鼻・羽島線/柳津駅 徒歩24分,,757.0,,0.86,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_27f459a97297351ab2e5129523a9c025/,2026-01-17,,名鉄竹鼻・羽島線,柳津,24.0,,2026-01-11,
682a6beec886,土地,岐阜県岐阜市北一色５丁目,882.0,岐阜県岐阜市北一色５丁目,名鉄各務原線/細畑駅 徒歩20分,,139.0,,20.98,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_5f8f2f46fa6435ceb48c7f379ab22c4e/,2026-01-17,,名鉄各務原線,細畑,20.0,,2026-01-11,
682b24c1b0c7,建物,LDK＋2階洋室3部屋の構成で、少人数～ファミリーまで暮らしやすいお家です,2770.0,岐阜県各務原市緑苑北２,JR高山本線「鵜沼」徒歩29分,3LDK,210.94,88.03,,https://suumo.jp/chukoikkodate/gifu/sc_kakamigahara/nc_79031300/,2026-01-17,48.24,JR高山本線,鵜沼,29.0,,2026-01-11,
68305270f8a1,土地,岐阜県岐阜市粟野西,110.0,岐阜県岐阜市粟野西,名鉄名古屋本線/名鉄岐阜駅 徒歩1分 バス35分,,120.69,,3.01,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_3621efa4fe5c399d92fa5be2410f42fa/,2026-01-17,,名鉄名古屋本線,名鉄岐阜,1.0,,2026-01-11,
68416b46076e,土地,岐阜県羽島市竹鼻町神楽3287-3,500.0,岐阜県羽島市竹鼻町神楽3287-3,名鉄竹鼻線/竹鼻駅 徒歩7分,,631.4,,2.62,https://myhome.nifty.com/tochi/gifu/hashimashi_ct/detail_ccf36c44fab93f9cb1378141e215a5da/,2026-01-17,,名鉄竹鼻線,竹鼻,7.0,,2026-01-11,
684a2be846cb,土地,岐阜県岐阜市早田町２丁目,1220.0,岐阜県岐阜市早田町２丁目,,,252.01,,16.0,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_f7e49370b9833f938b0c6973c4c70a65/,2026-01-17,,,,,,2026-01-11,
684a4fed4a84,建物,■当社限定特典有、即日案内可能！■頭金０円、他借入もおまとめローン可能！,2480.0,岐阜県羽島市竹鼻町狐穴,名鉄竹鼻線「竹鼻」徒歩13分,4LDK+S,185.15,123.65,,https://suumo.jp/ikkodate/gifu/sc_hashima/nc_78210848/,2026-01-17,0.0,名鉄竹鼻線,竹鼻,13.0,最大,2026-01-11,
685e49dda765,建物,愛知県一宮市千秋町小山,3980.0,愛知県一宮市千秋町小山,名鉄犬山線/石仏駅 徒歩23分,3LDK+S,222.64,121.75,59.1,https://myhome.nifty.com/chuko-ikkodate/aichi/ichinomiyashi_ct/detail_d3b1d400a0d637c085b44da71120d3af/,2026-01-17,0.0,名鉄犬山線,石仏,23.0,,2026-01-11,
68634d4e69ce,土地,愛知県一宮市木曽川町里小牧,2280.0,愛知県一宮市木曽川町里小牧,名鉄名古屋本線/新木曽川駅 徒歩22分,,665.16,,11.33,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_c9afd7dde21a3cd58045c4dbc24c5ff0/,2026-01-17,,名鉄名古屋本線,新木曽川,22.0,,2026-01-11,
686af496abfa,土地,岐阜県岐阜市日野東６丁目,1120.0,岐阜県岐阜市日野東６丁目,,,353.0,,10.49,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_93b37b650a583008b5fa94122e04bdb5/,2026-01-17,,,,,,2026-01-11,
68909ec61790,建物,一宮市三条第1　1号棟　全5棟,2980.0,愛知県一宮市三条字山,JR東海道本線「尾張一宮」駅まで 3.8km,4LDK,161.98,99.63,,https://sumaity.com/house_new/prop_10075128/,2026-01-17,0.0,JR東海道本線,尾張一宮,,,2026-01-11,
6891ed5c1640,建物,岐阜市日置江 中古戸建,1499.0,岐阜県岐阜市日置江,JR東海道本線 穂積駅まで 徒歩51分 / 名鉄竹鼻・羽島線 柳津駅まで 徒歩62分,3LDK,150.08,97.58,33.02,https://sumaity.com/house/used/gifu_prop/prop_18810963/,2026-01-17,29.82,JR東海道本線,穂積,51.0,,2026-01-11,
689dc0eb0a4a,建物,愛知県一宮市今伊勢町馬寄,2790.0,愛知県一宮市今伊勢町馬寄,名鉄名古屋本線/石刀駅 徒歩22分,4LDK,156.38,98.63,58.98,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_4efb1bc34b8e317bbea9f4e7229b8e06/,2026-01-17,0.0,名鉄名古屋本線,石刀,22.0,,2026-01-11,
68a0f047bca9,土地,岐阜県羽島市正木町大浦,2300.0,岐阜県羽島市正木町大浦,名鉄竹鼻・羽島線/不破一色駅 徒歩18分,,773.53,,9.83,https://myhome.nifty.com/tochi/gifu/hashimashi_ct/detail_b9268528ad4a3954934144b19bb59a2a/,2026-01-17,,名鉄竹鼻・羽島線,不破一色,18.0,,2026-01-11,
68a118c6367c,建物,岐阜県岐阜市早田東町,1480.0,岐阜県岐阜市早田東町,,4LDK,163.18,114.66,29.98,https://myhome.nifty.com/chuko-ikkodate/gifu/gifushi_ct/detail_cae2a765473939e2b22c5ba84a7f9273/,2026-01-17,0.0,,,,,2026-01-11,
68a40993f0b9,建物,愛知県一宮市瀬部字夏目塚,3480.0,愛知県一宮市瀬部字夏目塚,名鉄犬山線/江南駅 徒歩42分,5LDK,160.91,140.45,71.49,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_1e1af1770cf8354fb46df974e1a5fff5/,2026-01-17,0.0,名鉄犬山線,江南,42.0,,2026-01-11,
68a520379802,建物,岐阜県各務原市上戸町５丁目,3300.0,岐阜県各務原市上戸町５丁目,名鉄各務原線/各務原市役所前駅 徒歩31分,3LDK,200.56,102.67,54.39,https://myhome.nifty.com/chuko-ikkodate/gifu/kakamigaharashi_ct/detail_f835cf4119953f9782900f591ee23cce/,2026-01-17,10.25,名鉄各務原線,各務原市役所前,31.0,,2026-01-11,
68b8441a53de,建物,一宮市中島通5丁目,2249.0,愛知県一宮市中島通５丁目,名鉄本線 今伊勢駅まで 徒歩30分,5LDK,109.87,120.89,,https://sumaity.com/house/used/aichi_prop/prop_18218833/,2026-01-17,19.56,名鉄本線,今伊勢,30.0,,2026-01-11,
68bf07c45d52,土地,愛知県一宮市八幡,3640.0,愛知県一宮市八幡,JR東海道本線/尾張一宮駅 徒歩13分,,160.06,,75.18,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_e7c8797097f539a297645719128f2766/,2026-01-17,,JR東海道本線,尾張一宮,13.0,,2026-01-11,
68c0f9416267,土地,岐阜県岐阜市古市場,781.0,岐阜県岐阜市古市場,,,397.05,,6.5,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_d5bcabfe084f31eaa49f8d15348601e2/,2026-01-17,,,,,,2026-01-11,
68c59882aa3c,土地,岐阜県岐阜市端詰町,3900.0,岐阜県岐阜市端詰町,名鉄各務原線/名鉄岐阜駅 徒歩19分,,208.13,,61.95,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_b3dc721157423b5386d167668f38673d/,2026-01-17,,名鉄各務原線,名鉄岐阜,19.0,,2026-01-11,
68cd7008d0ea,建物,岐阜県岐阜市宇佐南４丁目,3980.0,岐阜県岐阜市宇佐南４丁目,東海道本線/西岐阜駅 徒歩16分,4LDK,364.11,137.1,36.13,https://myhome.nifty.com/chuko-ikkodate/gifu/gifushi_ct/detail_f07faf6510ec3d53b1efa5ff7afdc7d3/,2026-01-17,17.08,東海道本線,西岐阜,16.0,,2026-01-11,
68dc2c183498,土地,岐阜県岐阜市茶屋新田６丁目,420.0,岐阜県岐阜市茶屋新田６丁目,,,190.76,,7.28,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_050a0736606f3a6384d2dcfb025c6529/,2026-01-17,,,,,,2026-01-11,
68e3540f585a,建物,中古住宅　柳津町東塚5丁目,999.0,岐阜県岐阜市柳津町東塚5丁目,名鉄竹鼻・羽島線 西笠松駅まで 徒歩8分,2LDK,35.0,74.37,,https://sumaity.com/house/used/gifu_prop/prop_8843857/,2026-01-17,29.9,名鉄竹鼻・羽島線,西笠松,8.0,,2026-01-11,
68e387977bc2,土地,岐阜県各務原市那加長塚町３丁目,1569.0,岐阜県各務原市那加長塚町３丁目,名鉄各務原線/新加納駅 徒歩15分,,288.0,,18.01,https://myhome.nifty.com/tochi/gifu/kakamigaharashi_ct/detail_557d142ff7c23c25a090ccb5d71b86e4/,2026-01-17,,名鉄各務原線,新加納,15.0,,2026-01-11,
68e48cd64a79,建物,岐阜市前一色二丁目　1号棟　新築戸建,2760.0,岐阜県岐阜市前一色２丁目15番6,JR高山本線「長森」駅まで 徒歩 18分,5LDK,152.74,108.89,,https://sumaity.com/house_new/prop_10053266/,2026-01-17,0.0,JR高山本線,長森,18.0,,2026-01-11,
68e94e23f1d2,土地,岐阜県岐阜市山吹町１丁目,2890.0,岐阜県岐阜市山吹町１丁目,,,358.14,,26.68,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_4f5257820f283a459636abec30f4aeff/,2026-01-14,,,,,,2026-01-11,2026/01/17
68ed15043bc9,建物,一宮市伝法寺4期　全2棟　B号棟,2690.0,愛知県一宮市伝法寺11丁目2-21,名鉄犬山線「大山寺」駅まで 3km,4LDK,129.35,95.65,,https://sumaity.com/house_new/prop_10093453/,2026-01-17,0.0,名鉄犬山線,大山寺,38.0,,2026-01-11,
68ee015b56a2,土地,◆建築条件無し◆閑静な住宅街◆陽当り良好◆小中学校徒歩圏内◆周辺環境充実◆,750.0,岐阜県岐阜市長良森町２,名鉄各務原線「名鉄岐阜」徒歩70分,,115.7,,21.5,https://suumo.jp/tochi/gifu/sc_gifu/nc_78815702/,2026-01-17,,名鉄各務原線,名鉄岐阜,70.0,,2026-01-11,
68ef1e8b7004,土地,岐阜県岐阜市古市場,250.0,岐阜県岐阜市古市場,,,207.55,,3.98,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_429f5579e1953bd296158790c055e75a/,2026-01-17,,,,,,2026-01-11,
68f0c968643d,土地,岐阜県岐阜市三田洞東５丁目,383.15,岐阜県岐阜市三田洞東５丁目,東海道本線/岐阜駅,,253.35,,5.0,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_875c514cb11031058fa0e324263aabc5/,2026-01-17,,東海道本線,岐阜,,,2026-01-11,
68f16cb1da02,土地,愛知県一宮市丹羽,1530.0,愛知県一宮市丹羽,JR東海道本線/尾張一宮駅,,186.0,,27.19,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_b9a01465d0f134eea741585a5e44ae7a/,2026-01-17,,JR東海道本線,尾張一宮,,,2026-01-11,
68f494f899aa,建物,☆積水ハウス施工の木造［グラヴィス・ベルサ］！！,4880.0,岐阜県岐阜市長良友瀬,JR東海道本線「岐阜」バス29分停歩6分,2LDK+S,198.35,107.0,81.33,https://suumo.jp/chukoikkodate/gifu/sc_gifu/nc_77600204/,2026-01-17,5.05,JR東海道本線,岐阜,6.0,,2026-01-11,
68f8f8d22f0d,土地,愛知県一宮市起字東茜屋,650.0,愛知県一宮市起字東茜屋,名鉄名古屋本線/名鉄一宮駅 徒歩2分 バス24分,,139.82,,15.37,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_0871dd8fb9e33b98a16104ac7c81ccf2/,2026-01-17,,名鉄名古屋本線,名鉄一宮,2.0,,2026-01-11,
68fa0fe9eb17,土地,◇セキスイハイムの新しい分譲地が誕生◇◆自由設計の注文住宅用地,1150.0,岐阜県岐阜市則武字本畠156　他,JR東海道本線「岐阜」バス22分停歩7分~8分,,165.87,,22.92,https://suumo.jp/tochi/gifu/sc_gifu/nc_76278281/,2026-01-17,0.0,JR東海道本線,岐阜,,最小,2026-01-11,
6909bdbfa1f8,建物,岐阜市第２手力町　～リーブルガーデン～,2980.0,岐阜県岐阜市手力町,名鉄各務原線「手力」駅 徒歩11分,4LDK,150.53,110.15,,https://sumaity.com/house_new/prop_10059115/,2026-01-17,0.0,名鉄各務原線,手力,11.0,最小,2026-01-11,
6914e9af60b3,土地,岐阜県岐阜市長良福泉,2150.0,岐阜県岐阜市長良福泉,東海道本線/岐阜駅 徒歩12分 バス21分,,396.0,,17.95,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_9f41111359d330d78d44a5ccac68bfc0/,2026-01-17,,東海道本線,岐阜,12.0,,2026-01-11,
6916e04ae989,建物,愛知県一宮市西五城,2190.0,愛知県一宮市西五城,"名鉄尾西線/萩原駅,名鉄尾西線/二子駅,名鉄尾西線/苅安賀駅",4LDK+S,298.62,95.58,24.24,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_88ff2b7778813d34b932eca0450e94de/,2026-01-17,0.0,名鉄尾西線,萩原,,,2026-01-11,
692683509534,建物,一宮市第1三条山　全5棟　3号棟,2780.0,愛知県一宮市三条字山54-1,名鉄尾西線「二子」駅まで 徒歩 34分,4LDK,161.98,102.06,,https://sumaity.com/house_new/prop_9750912/,2026-01-17,0.0,名鉄尾西線,二子,34.0,,2026-01-11,
692a8f0cf989,土地,整形地、前面棟無（天王公園）間口約１２ｍ以上、建築条件なし,1587.0,岐阜県岐阜市東鶉５,名鉄竹鼻線「柳津」徒歩23分,,331.65,,15.9,https://suumo.jp/tochi/gifu/sc_gifu/nc_76253929/,2026-01-17,,名鉄竹鼻線,柳津,23.0,,2026-01-11,
693081711c6e,建物,岐阜県岐阜市又丸,695.0,岐阜県岐阜市又丸,樽見鉄道/北方真桑駅 徒歩35分,7DK,135.53,113.81,16.95,https://myhome.nifty.com/chuko-ikkodate/gifu/gifushi_ct/detail_04df5dbd211436fbb525413ce9600fee/,2026-01-17,62.75,樽見鉄道,北方真桑,35.0,,2026-01-11,
6940c564073c,建物,愛知県一宮市千秋町浮野字唐畑,3580.0,愛知県一宮市千秋町浮野字唐畑,名鉄犬山線/石仏駅 徒歩37分,4LDK,173.67,117.6,68.15,https://myhome.nifty.com/chuko-ikkodate/aichi/ichinomiyashi_ct/detail_0dc90d87dccb3d4e86c514169e130b19/,2026-01-17,1.75,名鉄犬山線,石仏,37.0,,2026-01-11,
69481d7d027d,土地,岐阜県岐阜市長良大前町２丁目,720.0,岐阜県岐阜市長良大前町２丁目,東海道本線/岐阜駅,,112.49,,21.16,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_802741dc6cc73ced8a489c4f51c3e47b/,2026-01-17,,東海道本線,岐阜,,,2026-01-11,
694a239d4be6,土地,愛知県一宮市萩原町萩原,450.0,愛知県一宮市萩原町萩原,名鉄尾西線/萩原駅 徒歩15分,,128.92,,11.54,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_ee547b1ae2e93824a7d0695869fe64d4/,2026-01-17,,名鉄尾西線,萩原,15.0,,2026-01-11,
694e7af7cf21,建物,岐阜県岐阜市島田,2380.0,岐阜県岐阜市島田,名鉄名古屋本線/名鉄岐阜駅 徒歩8分 バス10分,5LDK,150.82,105.99,52.17,https://myhome.nifty.com/shinchiku-ikkodate/gifu/gifushi_ct/detail_4358f477ec2b3381bb817087a5c445d6/,2026-01-14,0.0,名鉄名古屋本線,名鉄岐阜,8.0,,2026-01-14,2026/01/17
69573fcf59a8,建物,◆土地面積100坪超え◆南向き陽当たり良好◆広々とした庭有り◆駐車2台可能,2380.0,愛知県一宮市三ツ井４,JR東海道本線「稲沢」徒歩40分,4LDK+S,334.79,139.11,,https://suumo.jp/chukoikkodate/aichi/sc_ichinomiya/nc_79177487/,2026-01-17,39.49,JR東海道本線,稲沢,40.0,,2026-01-11,
696b01cd9ace,建物,『新春お年玉キャンペーン』1/16～新規ご来場の方お米5ｋｇプレゼント,3580.0,愛知県一宮市奥町字三出西6-6,名鉄尾西線「玉ノ井」徒歩12分,4LDK,138.18,105.18,,https://suumo.jp/ikkodate/aichi/sc_ichinomiya/nc_72143105/,2026-01-17,0.0,名鉄尾西線,玉ノ井,12.0,最小,2026-01-11,
696f9ab96d9d,土地,岐阜県羽島郡笠松町北及,2281.0,岐阜県羽島郡笠松町北及,名鉄竹鼻・羽島線/南宿駅 徒歩28分,,838.0,,9.0,https://myhome.nifty.com/tochi/gifu/hashimagunkasamatsucho_ct/detail_2019160809463985bf6dcc36607b013c/,2026-01-17,,名鉄竹鼻・羽島線,南宿,28.0,,2026-01-14,
69705c0baf76,土地,愛知県一宮市笹野字前田向,350.0,愛知県一宮市笹野字前田向,,,84.1,,13.76,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_931072293ef233cda1b304f1c73e7ed9/,2026-01-17,,,,,,2026-01-11,
6974202f770c,土地,愛知県一宮市島村字辰已出,946.39,愛知県一宮市島村字辰已出,名鉄名古屋本線/名鉄一宮駅 徒歩3分 バス19分,,184.07,,17.0,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_80b7c79b3ef737d5be6678e5a1c8fadd/,2026-01-17,,名鉄名古屋本線,名鉄一宮,3.0,,2026-01-11,
697c21924c7e,土地,古橋（横屋駅） 800万円,800.0,岐阜県瑞穂市古橋,樽見鉄道「横屋」徒歩8分,,390.0,,6.8,https://suumo.jp/tochi/gifu/sc_mizuho/nc_70525755/,2026-01-17,,樽見鉄道,横屋,8.0,,2026-01-11,
697ebafa3d3d,建物,岐阜市日野南8丁目10-5　中古戸建,2899.0,岐阜県岐阜市日野南８丁目,岐阜市営バス「「城美台西」停」下車 徒歩2分,4SLDK,295.06,175.31,,https://sumaity.com/house/used/gifu_prop/prop_18319369/,2026-01-17,34.07,,,,,2026-01-11,
698769fadd3c,土地,岐阜県岐阜市溝旗町１丁目,5200.0,岐阜県岐阜市溝旗町１丁目,名鉄各務原線/名鉄岐阜駅 徒歩10分,,311.33,,55.22,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_4e9b67d379333d0c8400d41347f2f6dd/,2026-01-17,,名鉄各務原線,名鉄岐阜,10.0,,2026-01-11,
69879b6a907a,建物,◆広々8DK◆角地◆和室あり◆陽当り良好◆小中学校徒歩圏内◆閑静な住宅街◆,640.0,岐阜県岐阜市御望,樽見鉄道「糸貫」徒歩60分,8DK,264.0,187.6,,https://suumo.jp/chukoikkodate/gifu/sc_gifu/nc_79158842/,2026-01-17,54.59,樽見鉄道,糸貫,60.0,,2026-01-11,
69a8187ac417,建物,お引越し代サービスor現金7.3万円プレゼント！物件見学で2万円贈呈！,2592.0,愛知県一宮市大和町氏永字北八畝割418-2,名鉄名古屋本線「島氏永」徒歩5分,4LDK,191.73,109.09,,https://suumo.jp/ikkodate/aichi/sc_ichinomiya/nc_78724686/,2026-01-17,0.0,名鉄名古屋本線,島氏永,5.0,,2026-01-11,
69a98fee7388,土地,起字東茜屋 860万円,860.0,愛知県一宮市起字東茜屋79-10,名鉄バス「新栄町」徒歩1分,,145.12,,19.6,https://suumo.jp/tochi/aichi/sc_ichinomiya/nc_76012636/,2026-01-17,,名鉄バス,新栄町,1.0,,2026-01-11,
69ae2d38218c,土地,【穂積駅徒歩１０分の好立地、建築条件ありません】,400.0,岐阜県瑞穂市只越1220,JR東海道本線「穂積」徒歩10分,,437.0,,3.1,https://suumo.jp/tochi/gifu/sc_mizuho/nc_78745031/,2026-01-17,,JR東海道本線,穂積,10.0,,2026-01-11,
69b2ee8d6a47,土地,愛知県一宮市東五城字西大堀,3980.0,愛知県一宮市東五城字西大堀,名鉄尾西線/二子駅 徒歩45分,,779.11,,16.89,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_136119e8ffea320d8128797907bec3bc/,2026-01-17,,名鉄尾西線,二子,45.0,,2026-01-11,
69bede311110,建物,【ハウスアイビー岐阜店】鉄筋コンクリート造3階建！1階は元クリニックの跡地,2380.0,岐阜県岐阜市東栄町１-10-1,名鉄各務原線「田神」徒歩6分,9DK+S,321.65,477.42,,https://suumo.jp/chukoikkodate/gifu/sc_gifu/nc_75889654/,2026-01-17,58.25,名鉄各務原線,田神,6.0,,2026-01-11,
69c2497380cc,建物,愛知県一宮市今伊勢町馬寄,1990.0,愛知県一宮市今伊勢町馬寄,名鉄名古屋本線/石刀駅 徒歩21分,4LDK,142.19,101.85,46.27,https://myhome.nifty.com/chuko-ikkodate/aichi/ichinomiyashi_ct/detail_acdbaccd6cb43c4dace6db7e9e3332fe/,2026-01-17,16.75,名鉄名古屋本線,石刀,21.0,,2026-01-11,
69c645566345,建物,愛知県一宮市西五城字杁先南,2980.0,愛知県一宮市西五城字杁先南,名鉄尾西線/二子駅 徒歩6分 バス19分,4LDK,182.69,112.63,53.92,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_bd2e36f83fcc339d8e7e02235caf817b/,2026-01-11,0.0,名鉄尾西線,二子,6.0,,2026-01-11,2026/01/14
69cdedd8a29b,土地,建築条件無◇土地面積31坪以上◇整形地◇造成渡し◇閑静な住宅地◇住環境良好,1690.0,愛知県一宮市今伊勢町宮後字東茶原,名鉄名古屋本線「今伊勢」徒歩9分,,105.78,,52.9,https://suumo.jp/tochi/aichi/sc_ichinomiya/nc_79076465/,2026-01-17,,名鉄名古屋本線,今伊勢,9.0,,2026-01-11,
69ce9eca86f3,建物,＼今日見学したい／などお気軽に　■並列3台駐車可能■スーパー近く,3399.0,愛知県一宮市貴船町４-15-3,名鉄名古屋本線「今伊勢」徒歩30分,3LDK,108.59,96.8,,https://suumo.jp/ikkodate/aichi/sc_ichinomiya/nc_77255584/,2026-01-17,0.0,名鉄名古屋本線,今伊勢,30.0,,2026-01-11,
69d56dd1f8f8,土地,愛知県一宮市浅井町大野,698.0,愛知県一宮市浅井町大野,JR東海道本線/尾張一宮駅 徒歩4分 バス24分,,256.74,,8.99,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_8a860b89f1a939d7aae4b5ddac608a55/,2026-01-17,,JR東海道本線,尾張一宮,4.0,,2026-01-11,
